"침수면적(1,000㎡)",총강수량(mm),기간(일),태풍,평균기온(℃),최다강수1H,최대풍속(m/s),일자,행정구역
1.4,135.2,4,0.0,24.8,26.7,5.4,2003-07-24,영등포구
8.5,177.0,5,0.0,24.6,59.5,4.3,2003-08-19,영등포구
80.3,299.7,5,0.0,24.4,59.2,6.2,2003-08-25,영등포구
101.4,437.7,8,0.0,24.5,63.0,7.9,2002-08-08,영등포구
110.3,818.2,21,0.0,24.1,49.2,6.7,2006-07-19,영등포구
200.5,789.0,19,0.0,25.1,64.2,6.8,1998-08-09,영등포구
609.6,268.0,2,0.0,20.0,69.5,6.1,2010-09-22,영등포구
0.9,41.0,1,0.0,22.6,35.5,10.0,2014-06-22,성동구
1.4,880.0,21,0.0,24.2,43.0,8.7,2006-07-19,성동구
3.9,277.5,4,0.0,24.2,43.0,8.0,2012-08-22,성동구
5.2,145.0,5,0.0,24.4,56.0,4.0,2003-08-19,성동구
23.9,89.5,5,0.0,23.2,42.5,5.5,2014-08-19,성동구
33.9,81.5,1,0.0,26.1,68.5,6.8,2012-07-13,성동구
36.6,289.5,5,0.0,24.4,56.5,6.0,2003-08-25,성동구
37.6,505.0,4,0.0,25.0,53.5,9.0,2011-07-28,성동구
41.3,259.5,2,0.0,19.8,75.0,6.9,2010-09-22,성동구
76.2,271.0,8,0.0,21.6,64.5,10.2,2002-08-08,성동구
1225.5,1044.0,19,0.0,24.2,71.0,4.4,1998-08-09,성동구
0.4,35.0,1,0.0,21.0,22.5,3.7,2014-06-23,용산구
0.4,260.5,4,0.0,24.4,38.5,6.9,2012-08-22,용산구
0.5,214.0,7,0.0,23.8,39.5,5.9,2016-07-04,용산구
1.9,173.0,5,0.0,24.4,63.0,4.2,2003-08-19,용산구
2.3,126.0,3,0.0,24.9,39.5,9.0,2005-06-27,용산구
2.9,141.5,3,0.0,25.9,51.0,9.5,2012-08-15,용산구
3.2,414.0,13,0.0,25.7,35.0,13.3,1999-07-29,용산구
3.8,257.0,7,0.0,25.1,78.0,5.6,2010-08-26,용산구
10.5,775.5,21,0.0,24.1,38.0,8.0,2006-07-19,용산구
12.2,45.0,1,0.0,26.7,36.0,4.1,2012-07-13,용산구
37.8,892.5,19,0.0,26.3,61.0,8.4,1998-08-09,용산구
39.1,476.0,4,0.0,25.6,49.0,8.3,2011-07-28,용산구
47.5,323.0,5,0.0,24.4,56.5,8.1,2003-08-25,용산구
70.5,263.5,2,0.0,19.8,68.0,6.7,2010-09-22,용산구
80.5,443.5,8,0.0,24.5,54.0,10.8,2002-08-08,용산구
0.4,32.5,1,0.0,27.4,25.5,3.3,2012-07-13,서초구
0.9,93.0,3,0.3,26.3,30.5,4.3,2012-07-18,서초구
0.9,114.0,5,0.0,24.4,33.0,3.5,2003-08-19,서초구
1.9,36.0,2,0.0,26.0,32.5,2.9,2013-07-05,서초구
2.3,211.0,4,0.0,25.7,30.5,3.8,2003-07-24,서초구
3.9,188.0,3,0.0,26.2,59.5,4.7,2012-08-15,서초구
5.1,250.5,7,0.0,24.4,34.0,3.3,2016-07-04,서초구
5.4,230.0,5,0.0,25.2,33.5,4.7,2013-07-13,서초구
6.5,553.0,13,0.0,25.9,41.5,6.3,1999-07-29,서초구
12.3,166.0,2,0.0,26.8,67.0,2.8,2013-07-23,서초구
13.2,204.0,2,0.0,22.6,56.5,2.7,2012-07-06,서초구
15.6,316.0,5,0.0,24.4,59.0,3.9,2003-08-25,서초구
42.5,351.5,6,0.0,24.4,46.5,5.3,2009-07-14,서초구
116.5,454.5,8,0.0,24.8,50.0,6.0,2002-08-08,서초구
353.3,261.5,2,0.0,19.6,78.5,3.8,2010-09-22,서초구
408.0,862.5,19,0.0,26.2,61.0,5.0,1998-08-09,서초구
1071.4,369.0,4,0.0,26.0,86.0,3.6,2011-07-28,서초구
2.8,568.0,13,0.0,24.7,36.5,6.5,1999-07-29,광진구
8.0,126.5,5,0.0,24.1,46.5,4.4,2003-08-19,광진구
190.6,335.5,5,0.0,24.4,60.0,6.1,2003-08-25,광진구
605.6,498.0,8,0.0,23.9,68.5,11.5,2002-08-08,광진구
734.1,263.5,2,0.0,19.8,74.0,5.5,2010-09-22,광진구
2549.4,1044.0,19,0.0,24.2,71.0,4.4,1998-08-09,광진구
0.4,210.0,2,0.0,24.2,25.0,5.8,2009-08-12,마포구
0.9,219.0,4,0.0,24.8,44.5,4.8,2003-07-24,마포구
4.8,255.5,6,0.0,23.8,32.0,9.3,2009-07-14,마포구
15.4,628.0,13,0.0,25.9,43.0,9.6,1999-07-29,마포구
34.0,853.5,21,0.0,24.1,43.5,10.9,2006-07-19,마포구
38.8,80.0,1,0.0,25.7,72.5,5.3,2012-07-13,마포구
94.4,1086.5,19,0.0,25.7,78.0,7.1,1998-08-09,마포구
119.4,578.0,4,0.0,25.5,66.0,7.3,2011-07-28,마포구
157.3,331.0,5,0.0,24.2,69.0,6.5,2003-08-25,마포구
213.2,478.5,8,0.0,24.3,84.5,10.5,2002-08-08,마포구
273.9,280.5,2,0.0,19.6,85.0,9.1,2010-09-22,마포구
0.9,70.0,1,0.0,22.7,53.5,6.7,2014-06-22,강남구
1.5,272.5,7,0.0,23.8,38.0,4.0,2016-07-04,강남구
1.9,25.5,2,0.0,25.8,20.5,3.8,2013-07-05,강남구
1.9,465.5,13,0.1,22.9,37.0,7.7,2011-06-27,강남구
2.8,100.5,2,0.0,21.0,26.5,3.5,2007-07-02,강남구
3.3,819.0,21,0.0,23.8,36.0,6.4,2006-07-19,강남구
3.9,99.5,5,0.0,23.4,47.5,3.8,2014-08-19,강남구
3.9,252.5,5,0.0,25.3,32.5,5.3,2013-07-13,강남구
6.5,512.0,13,0.0,25.7,37.5,10.9,1999-07-29,강남구
7.3,186.5,3,0.0,26.2,60.5,4.5,2012-08-15,강남구
7.8,42.5,1,0.0,27.2,37.5,4.6,2012-07-13,강남구
10.8,177.5,2,0.0,22.5,53.5,4.1,2012-07-06,강남구
10.8,190.5,2,0.0,26.6,58.5,4.3,2013-07-23,강남구
26.6,331.0,6,0.0,24.1,42.5,7.4,2009-07-14,강남구
37.5,338.5,5,0.0,24.1,63.0,7.9,2003-08-25,강남구
46.2,16.5,3,0.0,26.5,13.5,5.0,2010-09-06,강남구
91.9,451.0,8,0.0,24.8,53.5,8.7,2002-08-08,강남구
208.2,293.0,2,0.0,19.8,71.5,5.1,2010-09-22,강남구
711.8,962.0,19,0.0,24.7,56.0,6.1,1998-08-09,강남구
721.0,513.0,4,0.0,26.1,72.0,7.1,2011-07-28,강남구
0.1,335.5,10,0.0,25.5,30.0,10.3,2000-08-28,강동구
0.4,39.0,1,0.0,25.4,31.0,2.4,2012-07-13,강동구
0.4,202.0,4,0.0,27.0,25.0,4.4,2003-07-24,강동구
1.4,262.5,4,0.0,23.7,34.5,6.1,2012-08-22,강동구
2.3,121.5,5,0.0,23.7,42.5,3.7,2003-08-19,강동구
2.4,61.5,3,0.0,25.7,47.0,5.0,2010-09-06,강동구
2.4,170.5,3,0.0,25.0,53.0,5.7,2012-08-15,강동구
3.3,127.0,3,0.0,26.3,39.5,5.1,2005-07-28,강동구
4.4,484.0,13,0.1,22.4,38.5,7.4,2011-06-27,강동구
9.2,295.0,7,0.0,23.1,49.0,4.4,2016-07-04,강동구
12.2,201.0,2,0.0,21.7,52.0,4.7,2012-07-06,강동구
14.0,351.0,6,0.0,23.8,43.5,9.0,2009-07-14,강동구
15.2,51.5,8,0.0,28.7,30.0,5.6,2004-08-08,강동구
23.5,796.5,21,0.0,23.5,34.0,6.7,2006-07-19,강동구
43.2,452.0,8,0.0,25.6,43.5,8.0,2002-08-08,강동구
58.4,353.5,5,0.0,24.0,73.0,5.6,2003-08-25,강동구
600.3,275.0,2,0.0,19.2,79.0,6.7,2010-09-22,강동구
644.1,579.5,4,0.0,25.0,59.5,6.2,2011-07-28,강동구
1221.8,1136.0,19,0.0,23.0,80.5,6.4,1998-08-09,강동구
0.4,124.0,2,0.0,25.4,37.0,3.8,2013-07-23,은평구
0.4,127.0,12,0.0,26.5,13.5,8.9,2007-08-10,은평구
0.4,203.0,3,0.0,24.4,28.5,7.9,2008-07-20,은평구
0.9,97.0,2,0.0,25.0,27.5,6.4,2009-07-18,은평구
0.9,204.0,4,0.0,23.6,39.0,8.2,2008-07-25,은평구
0.9,253.5,10,0.0,23.3,19.5,8.3,2011-07-12,은평구
1.0,224.5,7,0.0,22.5,28.0,5.5,2016-07-04,은평구
1.4,288.5,6,0.0,23.8,34.0,10.0,2009-07-14,은평구
1.4,423.5,13,0.1,22.1,28.5,10.7,2011-06-27,은평구
1.9,216.0,4,0.0,24.2,34.5,7.2,2003-07-24,은평구
2.9,273.5,7,0.0,24.9,32.0,6.9,2010-08-26,은평구
6.7,221.5,1,0.0,21.6,51.5,8.4,2009-07-09,은평구
7.2,151.5,6,0.0,26.1,58.5,7.2,2010-08-16,은평구
9.5,329.5,5,0.0,23.9,41.0,9.5,2003-08-25,은평구
11.0,804.0,21,0.0,23.6,45.5,10.2,2006-07-19,은평구
18.0,95.5,2,0.0,23.4,33.0,8.3,2003-08-07,은평구
40.8,562.0,13,0.0,25.1,44.0,14.1,1999-07-29,은평구
42.8,181.0,2,0.0,19.1,54.0,6.2,2010-09-22,은평구
51.1,406.0,8,0.0,23.8,52.0,8.9,2002-08-08,은평구
142.5,118.0,4,0.0,27.0,94.0,6.5,2010-08-11,은평구
219.2,585.5,4,0.0,25.1,68.5,7.3,2011-07-28,은평구
487.5,705.5,19,0.0,25.9,57.0,10.1,1998-08-09,은평구
0.6,240.5,6,0.0,23.6,29.5,8.7,2009-07-14,강서구
1.0,105.5,5,0.0,25.7,17.2,7.0,2015-07-24,강서구
1.9,179.7,1,0.0,21.3,41.5,8.3,2009-07-09,강서구
20.6,635.5,13,0.0,24.6,44.5,13.7,1999-07-29,강서구
22.8,144.0,6,0.0,26.4,50.2,8.4,2010-08-16,강서구
26.6,90.0,2,0.0,17.2,27.5,8.4,1998-05-02,강서구
50.8,865.2,21,0.0,23.4,49.0,10.7,2006-07-19,강서구
101.4,13.5,4,0.0,20.5,6.2,7.5,2016-10-05,강서구
332.8,432.5,4,0.0,25.4,57.0,7.0,2011-07-28,강서구
334.6,317.2,5,0.0,23.6,54.2,7.9,2003-08-25,강서구
971.0,781.5,19,0.0,23.8,69.5,10.9,1998-08-09,강서구
1075.2,390.2,8,0.0,23.3,62.0,9.4,2002-08-08,강서구
1111.8,230.5,7,0.0,25.0,35.7,6.3,2010-08-26,강서구
1150.6,257.7,2,0.0,19.2,90.0,9.0,2010-09-22,강서구
1.9,43.5,1,0.0,26.2,33.5,3.7,2012-07-13,동작구
1.9,168.5,2,0.0,22.2,49.0,4.5,2012-07-06,동작구
1.9,535.0,13,0.1,22.2,42.5,6.5,2011-06-27,동작구
7.1,153.0,5,0.0,23.3,53.5,3.3,2003-08-19,동작구
12.6,554.5,13,0.0,25.1,39.0,10.5,1999-07-29,동작구
17.2,830.0,21,0.0,23.4,43.5,4.7,2006-07-19,동작구
38.0,233.0,5,0.0,18.5,43.5,4.6,2003-08-25,동작구
70.1,247.0,8,0.0,24.4,56.0,6.4,2002-08-08,동작구
167.7,692.5,19,0.0,19.4,53.5,7.0,1998-08-09,동작구
662.1,251.5,2,0.0,21.0,81.5,4.9,2010-09-22,동작구
683.3,481.0,4,0.0,25.6,57.5,5.2,2011-07-28,동작구
0.4,153.5,17,0.0,25.1,25.5,6.0,2008-08-10,관악구
0.9,40.0,2,0.0,19.7,9.0,4.9,2008-08-23,관악구
2.9,527.5,13,0.1,21.5,41.0,5.6,2011-06-27,관악구
3.8,727.0,21,0.0,22.6,34.5,6.8,2006-07-19,관악구
4.3,69.0,3,0.0,24.1,35.0,5.5,2005-07-01,관악구
4.8,117.5,6,0.0,25.1,23.0,6.6,2010-08-16,관악구
6.0,618.0,13,0.0,24.9,34.5,10.0,1999-07-29,관악구
11.0,118.0,3,0.0,24.3,38.5,4.3,2005-07-28,관악구
14.2,226.0,5,0.0,19.7,49.0,7.3,2003-08-25,관악구
42.6,427.5,8,0.0,23.3,47.5,6.1,2002-08-08,관악구
76.6,781.0,19,0.0,24.1,69.5,7.2,1998-08-09,관악구
1119.0,159.5,2,0.0,18.9,95.5,5.2,2010-09-22,관악구
1276.5,510.0,4,0.0,25.1,112.0,4.5,2011-07-28,관악구
0.1,364.5,10,0.0,24.0,47.0,12.0,2000-08-28,노원구
0.4,85.0,3,0.0,24.7,37.0,5.1,2005-07-01,노원구
1.5,260.5,7,0.0,22.5,39.0,4.3,2016-07-04,노원구
3.3,303.0,5,0.0,23.7,51.5,5.2,2003-08-25,노원구
5.3,576.0,4,0.0,25.1,62.0,6.2,2011-07-28,노원구
8.1,878.5,21,0.0,23.4,54.5,6.9,2006-07-19,노원구
11.8,330.0,8,0.0,23.6,30.0,8.8,2002-08-08,노원구
126.1,549.5,13,0.0,24.7,33.0,12.3,1999-07-29,노원구
1544.6,1022.0,19,0.0,23.3,61.0,8.2,1998-08-09,노원구
0.4,286.5,5,0.0,24.6,37.0,6.9,2013-07-13,동대문구
7.0,654.5,13,0.0,24.1,48.5,10.4,1999-07-29,동대문구
13.7,409.0,8,0.0,24.4,36.0,9.9,2002-08-08,동대문구
14.7,192.0,5,0.0,24.4,69.5,4.2,2003-08-19,동대문구
28.7,229.5,2,0.0,19.5,65.5,6.1,2010-09-22,동대문구
158.5,487.0,4,0.0,20.3,69.0,7.6,2011-07-28,동대문구
181.1,316.5,5,0.0,24.5,62.5,6.0,2003-08-25,동대문구
2379.7,1272.0,19,0.0,25.0,85.5,5.7,1998-08-09,동대문구
0.4,75.0,3,0.3,24.8,20.5,5.0,2012-07-18,서대문구
0.4,113.5,3,0.0,24.7,51.5,4.2,2005-07-28,서대문구
0.4,274.5,10,0.0,22.9,21.5,4.2,2011-07-12,서대문구
0.9,187.0,2,0.0,21.6,46.0,4.1,2012-07-06,서대문구
0.9,195.5,4,0.0,23.7,30.0,4.1,2003-07-24,서대문구
1.4,141.0,3,0.0,24.7,20.0,5.1,2010-07-17,서대문구
1.4,190.0,12,0.0,26.1,29.5,6.8,2007-08-10,서대문구
1.4,416.5,16,0.0,22.0,23.5,5.1,2004-07-10,서대문구
1.9,115.5,6,0.0,25.7,37.5,5.9,2010-08-16,서대문구
2.4,0.0,1,0.0,22.3,0.0,3.4,2013-09-13,서대문구
2.4,263.5,6,0.0,23.0,33.5,6.0,2009-07-14,서대문구
2.8,170.0,5,0.0,22.9,54.0,4.8,2003-08-19,서대문구
2.9,223.5,4,0.0,22.6,34.5,4.2,2010-09-11,서대문구
4.4,495.0,13,0.1,21.7,41.0,5.7,2011-06-27,서대문구
4.8,190.5,1,0.0,20.8,41.0,4.7,2009-07-09,서대문구
6.3,91.0,1,0.0,25.7,81.0,4.0,2012-07-13,서대문구
8.2,285.0,7,0.0,24.2,33.0,4.2,2010-08-26,서대문구
8.4,623.5,13,0.0,24.6,42.5,10.5,1999-07-29,서대문구
15.2,314.5,5,0.0,23.0,65.5,5.7,2003-08-25,서대문구
17.0,27.0,4,0.0,26.4,10.0,3.9,2010-08-11,서대문구
18.7,824.0,21,0.0,23.1,45.5,5.5,2006-07-19,서대문구
39.3,376.5,8,0.0,23.3,62.0,6.5,2002-08-08,서대문구
56.9,276.0,2,0.0,18.8,81.5,4.5,2010-09-22,서대문구
148.1,999.0,19,0.0,25.4,62.0,6.9,1998-08-09,서대문구
149.7,547.0,4,0.0,24.8,53.0,6.0,2011-07-28,서대문구
2.4,443.0,13,0.1,22.4,32.0,9.3,2011-06-27,금천구
8.5,278.0,5,0.0,23.1,55.5,7.3,2003-08-25,금천구
14.0,111.5,2,0.0,24.4,46.5,8.6,2009-07-18,금천구
43.5,447.0,8,0.0,24.2,50.5,8.7,2002-08-08,금천구
69.6,650.5,19,0.0,25.8,57.0,11.0,1998-08-09,금천구
306.5,194.5,2,0.0,20.0,98.0,5.6,2010-09-22,금천구
438.5,428.0,4,0.0,26.2,66.0,5.9,2011-07-28,금천구
0.5,181.0,7,0.0,22.4,43.0,6.3,2016-07-04,중구
1.4,268.0,5,0.0,23.1,59.5,7.6,2003-08-25,중구
1.4,466.5,4,0.0,24.1,47.5,9.7,2011-07-28,중구
1.4,539.0,13,0.0,24.3,40.0,13.5,1999-07-29,중구
2.4,236.0,6,0.0,22.1,32.0,5.9,2009-07-14,중구
8.0,269.0,8,0.0,20.8,51.0,8.4,2002-08-08,중구
8.3,64.5,1,0.0,24.6,49.5,5.7,2012-07-13,중구
